29.300 10.110 9.610 14.820 168.715 1 1 2
29.040 10.130 8.771 13.734 126.482 1 1 2
28.950 10.130 7.532 13.705 241.728 1 1 2
28.840 10.140 7.777 12.691 149.532 1 1 2
28.910 10.160 9.610 21.409 354.863 1 1 2
28.850 10.160 16.160 42.508 1177.995 1 1 2
28.680 10.170 8.765 13.663 124.600 1 1 2
28.690 10.180 6.345 11.218 148.372 1 1 2
28.860 10.190 9.410 14.746 110.947 1 1 2
28.720 10.200 8.269 13.212 116.898 1 1 2
28.650 10.210 8.025 13.004 140.008 1 1 2
28.660 10.230 7.418 12.792 117.526 1 1 2
28.460 10.240 8.047 12.979 93.366 1 1 2
28.470 10.240 6.732 11.615 133.900 1 1 2
28.380 10.260 8.114 13.625 138.637 1 1 2
28.450 10.250 4.985 9.075 122.741 1 1 2
28.630 10.270 7.540 12.516 112.278 1 1 2
28.670 10.300 7.670 12.886 94.324 1 1 2
28.410 10.310 8.022 12.636 107.905 1 1 2
28.400 10.320 7.040 11.647 77.741 1 1 2
28.300 10.330 7.890 12.201 103.686 1 1 2
28.410 10.360 7.962 12.877 86.029 1 1 2
28.210 10.380 8.131 12.207 98.372 1 1 2
28.080 10.390 7.676 11.978 109.506 1 1 2
28.430 10.410 8.004 12.178 97.623 1 1 2
28.190 10.430 6.448 10.715 96.755 1 1 2
28.000 10.440 7.995 12.408 79.706 1 1 2
28.220 10.460 7.781 12.189 64.027 1 1 2
28.050 10.470 5.903 10.297 116.795 1 1 2
27.920 10.470 7.408 11.315 77.222 1 1 2
27.970 10.490 6.960 11.078 97.650 1 1 2
27.850 10.500 7.512 11.614 91.220 1 1 2
27.820 10.510 7.068 11.279 102.655 1 1 2
27.670 10.510 6.813 11.013 86.381 1 1 2
27.730 10.520 6.392 10.163 104.140 1 1 2
27.720 10.520 4.985 9.428 114.881 1 1 2
27.830 10.520 6.294 10.030 78.275 1 1 2
27.780 10.550 5.761 9.250 81.802 1 1 2
27.580 10.540 5.762 9.389 61.440 1 1 2
27.580 10.550 7.764 11.354 100.058 1 1 2
27.760 10.560 5.187 8.665 62.669 1 1 2
27.400 10.570 5.864 9.370 99.993 1 1 2
27.570 10.570 6.417 9.662 82.963 1 1 2
27.390 10.580 7.130 10.674 81.114 1 1 2
27.360 10.590 7.171 10.612 92.058 1 1 2
27.150 10.590 4.937 8.692 63.673 1 1 2
27.350 10.590 5.582 9.502 101.189 1 1 2
27.300 10.600 6.520 10.019 89.052 1 1 2
27.160 10.610 6.441 9.819 79.324 1 1 2
27.130 10.620 6.118 9.088 77.148 1 1 2
27.240 10.620 4.896 7.988 79.617 1 1 2
27.360 10.640 6.036 9.194 79.957 1 1 2
27.730 10.660 6.592 10.168 86.854 1 1 2
27.560 10.690 7.447 10.794 83.819 1 1 2
27.110 10.720 5.759 9.043 57.725 1 1 2
27.210 10.730 6.435 8.963 61.371 1 1 2
27.130 10.750 7.139 9.984 84.435 1 1 2
26.920 10.760 6.118 9.033 73.210 1 1 2
26.700 10.790 6.449 9.451 54.300 1 1 2
26.860 10.790 6.409 9.563 60.048 1 1 2
26.750 10.810 8.535 11.343 93.013 1 1 2
26.750 10.820 6.485 9.950 41.886 1 1 2
26.720 10.830 7.339 10.408 37.493 1 1 2
26.700 10.850 6.657 9.693 84.453 1 1 2
26.820 10.860 7.410 10.719 77.857 1 1 2
26.660 10.880 6.589 9.659 77.809 1 1 2
26.830 10.890 6.897 9.674 53.702 1 1 2
26.470 10.910 7.939 11.087 56.810 1 1 2
26.410 10.930 6.373 9.546 65.408 1 1 2
26.310 10.930 7.623 10.760 61.310 1 1 2
26.270 10.940 7.189 10.476 55.419 1 1 2
26.310 10.960 7.084 10.848 90.505 1 1 2
26.130 10.960 6.607 10.028 76.396 1 1 2
26.230 10.960 6.200 8.921 60.543 1 1 2
26.270 10.970 6.497 10.132 103.330 1 1 2
26.110 10.970 7.581 11.454 96.954 1 1 2
26.200 10.980 4.285 7.117 62.426 1 1 2
26.120 10.980 5.872 8.948 61.578 1 1 2
